,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,'charmap' codec can't encode characters in position 35-36: character maps to <undefined>,datasets,mylesoneill/game-of-thrones,Game of Thrones,66KB,2016-05-20 01:32:31,38379,875,0.85294116
4,'charmap' codec can't encode characters in position 35-36: character maps to <undefined>,datasets,billbasener/sat-score-data-by-state,SAT Score Data By State,1KB,2020-07-01 18:06:28,337,12,0.4117647
6,'charmap' codec can't encode characters in position 35-36: character maps to <undefined>,datasets,prashant111/game-of-thrones,Game of Thrones,68KB,2020-03-13 05:57:38,299,70,0.64705884
8,'charmap' codec can't encode characters in position 35-36: character maps to <undefined>,datasets,shitalgaikwad123/gameofthonesdeaths,game-of-thones-deaths,50KB,2021-07-23 17:40:49,75,7,0.7647059
10,'charmap' codec can't encode characters in position 35-36: character maps to <undefined>,datasets,osuolaleemmanuel/ad-ab-testing,Ad A/B Testing,216KB,2020-08-10 21:58:07,547,11,0.7058824
12,'charmap' codec can't encode characters in position 35-36: character maps to <undefined>,datasets,brunovr/ludopedia-rank,Ludopedia Rank,161KB,2021-08-12 16:45:08,20,7,0.9411765
14,'charmap' codec can't encode characters in position 35-36: character maps to <undefined>,datasets,elikplim/ecoli-data-set,Ecoli Data Set,4KB,2017-09-01 02:49:49,1478,13,0.7647059
