,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Power-BI,datasets,aman1497/power-bi-projects,Power BI Projects,2MB,2022-04-06 05:25:44,1276,24,0.375
4,Power-BI,datasets,kalilurrahman/2021-kaggle-machine-learning-data-science-survey,2021 Kaggle Machine Learning & Data Science Survey,8MB,2022-03-22 12:29:52,349,22,1.0
