,topic,set,ref,title,author,lastRunTime,totalVotes
2,descriptive-analysis,kernels,upadorprofzs/statistical-analysis-descriptive-statistics-br,Statistical Analysis | Descriptive Statistics-BR,Murilão,2020-07-21 10:30:52,167
4,descriptive-analysis,kernels,colara/human-resources-analytics-a-descriptive-analysis,Human Resources Analytics: A Descriptive Analysis,William Walter,2017-10-31 23:53:22,33
