,topic,set,ref,title,author,lastRunTime,totalVotes
2,Principal-Component-Analysis-(PCA),kernels,arthurtok/interactive-intro-to-dimensionality-reduction,Interactive Intro to Dimensionality Reduction,Anisotropic,2018-09-24 22:53:26,814
4,Principal-Component-Analysis-(PCA),kernels,sid321axn/principal-component-analysis-pca,Principal Component Analysis (PCA),Manu Siddhartha,2019-03-05 02:01:30,16
6,Principal-Component-Analysis-(PCA),kernels,nirajvermafcb/principal-component-analysis-explained,Principal Component Analysis explained,Niraj Verma,2017-01-12 18:47:03,250
8,Principal-Component-Analysis-(PCA),kernels,arthurtok/principal-component-analysis-with-kmeans-visuals,Principal Component Analysis with KMeans visuals,Anisotropic,2017-10-04 19:49:23,250
10,Principal-Component-Analysis-(PCA),kernels,avikumart/pca-principal-component-analysis-variance-plots,[PCA]Principal Component Analysis &variance plots,AvikumarT,2022-11-02 11:05:29,80
12,Principal-Component-Analysis-(PCA),kernels,serkanpeldek/face-recognition-on-olivetti-dataset,Face Recognition on Olivetti Dataset,Serkan Peldek,2019-08-27 05:49:19,309
14,Principal-Component-Analysis-(PCA),kernels,ryanholbrook/feature-engineering-for-house-prices,Feature Engineering for House Prices,Ryan Holbrook,2022-05-05 12:49:09,319
16,Principal-Component-Analysis-(PCA),kernels,karimsaieh/pca-principal-component-analysis-without-sklearn,PCA Principal Component Analysis without sklearn,karim s.h,2019-11-16 15:13:26,13
