,topic,set,ref,title,author,lastRunTime,totalVotes
2,Univariate-analysis,kernels,sudalairajkumar/univariate-analysis-regression-lb-0-006,Univariate Analysis & Regression (LB : 0.006),SRK,2016-12-09 09:30:11,121
4,Univariate-analysis,kernels,ravichaubey1506/univariate-statistical-analysis-on-diabetes,Univariate Statistical Analysis on Diabetes,Ravi Chaubey,2020-05-06 07:10:12,97
6,Univariate-analysis,kernels,pmarcelino/comprehensive-data-exploration-with-python,Comprehensive data exploration with Python,"""Pedro Marcelino PhD""",2022-04-30 19:20:37,12863
8,Univariate-analysis,kernels,kanncaa1/feature-selection-and-data-visualization,Feature Selection and Data Visualization,DATAI,2021-07-10 16:05:36,1689
10,Univariate-analysis,kernels,etakla/exploring-the-dataset-univariate-analysis,"""Exploring the Dataset Univariate Analysis""",E-M-A-D,2017-02-28 14:19:59,21
12,Univariate-analysis,kernels,residentmario/welcome-to-data-visualization,Welcome to data visualization,Aleksey Bilogur,2018-01-23 20:24:14,450
14,Univariate-analysis,kernels,sudalairajkumar/simple-exploration-notebook-zillow-prize,Simple Exploration Notebook - Zillow Prize,SRK,2017-06-03 13:40:09,1104
16,Univariate-analysis,kernels,lonewolf95/eda-101-univariate-analysis-for-beginners,EDA 101: Univariate Analysis for Beginners,Sharoon Saxena,2020-09-01 13:15:26,26
