,topic,set,ref,title,author,lastRunTime,totalVotes
2,'charmap' codec can't encode character '\U0001f3ae' in position 34: character maps to <undefined>,kernels,pmarcelino/comprehensive-data-exploration-with-python,Comprehensive data exploration with Python,"""Pedro Marcelino PhD""",2022-04-30 19:20:37,12859
6,'charmap' codec can't encode character '\U0001f3ae' in position 34: character maps to <undefined>,kernels,henriqueyamahata/bank-marketing-classification-roc-f1-recall,"""Bank Marketing + Classification + ROC",F1,"RECALL...""",Henrique Yamahata
8,'charmap' codec can't encode character '\U0001f3ae' in position 34: character maps to <undefined>,kernels,lucamassaron/eda-target-analysis,EDA- target analysis,Luca Massaron,2022-01-27 10:51:04,394
10,'charmap' codec can't encode character '\U0001f3ae' in position 34: character maps to <undefined>,kernels,kashnitsky/topic-7-unsupervised-learning-pca-and-clustering,Topic 7. Unsupervised learning: PCA and clustering,Yury Kashnitsky,2019-07-27 22:45:40,291
