,topic,set,ref,title,author,lastRunTime,totalVotes
2,Data-mining,kernels,carolzhangdc/predict-imdb-score-with-data-mining-algorithms,Predict IMDB score with data mining algorithms,Yueming,2018-01-12 05:28:17,84
4,Data-mining,kernels,ekrembayar/f-r-i-e-n-d-s-text-mining-data-visualization,F.R.I.E.N.D.S Text Mining & Data Visualization,Ekrem Bayar,2021-12-06 10:21:40,110
6,Data-mining,kernels,josipdomazet/mining-nyc-airbnb-data-using-r,Mining NYC Airbnb data using R,Josip Domazet,2019-09-03 10:33:49,46
8,Data-mining,kernels,diegocalvo/data-mining-of-mental-health,Data mining of mental health,Diego Calvo,2017-02-11 21:54:46,32
10,Data-mining,kernels,emmaren/cold-calls-data-mining-and-model-selection,Cold Calls: Data Mining and Model Selection,Emma Ren,2017-07-20 06:49:41,40
