,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Quartile-analysis,datasets,rohitzaman/gender-age-and-emotion-detection-from-voice,"""Gender Age and Emotion Detection from Voice """,945KB,2021-05-29 18:23:07,304,5,0.5294118
4,Quartile-analysis,datasets,maksymshkliarevskyi/scopus-source-list,Scopus Source List,19MB,2021-08-22 08:17:57,92,6,1.0
6,Quartile-analysis,datasets,dkapitan/nhs-proms-case-study,NHS PROMs case study,53MB,2022-12-18 01:22:34,99,6,0.9375
8,Quartile-analysis,datasets,thedevastator/analyzing-energy-consumption-patterns-in-chicago,Energy Consumption Patterns in Chicago,10MB,2022-12-14 04:31:38,0,1,0.9411765
10,Quartile-analysis,datasets,christianfrey/sea-of-thieves-emissary-data,Sea of Thieves Emissary Leaderboard,16KB,2021-03-05 02:38:11,27,2,1.0
