,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,,datasets,iamsouravbanerjee/analytics-industry-salaries-2022-india,Data Professionals Salary - 2022,119KB,2022-07-17 11:28:56,9164,216,1.0
4,,datasets,eljailarisuhonen/gdpr-fines-in-eu-20182019-120-rows-8-columns,"""GDPR fines in EU 2018-2019 (120 rows8 columns)""",4KB,2019-12-10 07:25:43,144,8,0.7058824
6,,datasets,sohamganguly90/improving-time-cost-and-quality-of-hire,"""Improving TimeCost and Quality of Hire""",398KB,2021-11-08 05:55:55,195,5,0.5294118
